start_id,end_id,type
Pandia,Zeus,father
Pasithea,Zeus,father
Thallo,Zeus,father
Thalia,Zeus,father
Hebe,Zeus,father
Hecate,Zeus,father
Zagreus,Zeus,father
Calligeneia,Zeus,father
Adrasteia,Zeus,father
Eirene,Zeus,father
Angelos,Zeus,father
Caerus,Zeus,father
Melinoe,Zeus,father
Athena,Zeus,father
Apollo,Zeus,father
Artemis,Zeus,father
Basileia,Zeus,father
Ares,Zeus,father
Dionysus,Zeus,father
Hephaestus,Zeus,father
Aglaea,Zeus,father
Persephone,Zeus,father
Dike,Zeus,father
Carpo,Zeus,father
Euphrosyne,Zeus,father
Astraea,Zeus,father
Enyo,Zeus,father
Atropos,Zeus,father
Auxo,Zeus,father
Clotho,Zeus,father
Britomartis,Zeus,father
Lachesis,Zeus,father
Eunomia,Zeus,father
Eileithyia,Zeus,father
Aphrodite Pandemos,Zeus,father
Aristaeus,Apollo,father
Asclepius,Apollo,father
Hymen,Apollo,father
Phobos,Ares,father
Deimos,Ares,father
Eros,Ares,father
Enyalius,Ares,father
Himeros,Ares,father
Adrestia,Ares,father
Anteros,Ares,father
Harmonia,Ares,father
Aeolus,Poseidon,father
Despoina,Poseidon,father
Phaunos,Poseidon,father
Benthesikyme,Poseidon,father
Zagreus,Hades,father
Staphylus,Dionysus,father
Pasithea,Dionysus,father
Phthonus,Dionysus,father
Hymen,Dionysus,father
Aphrodite,Zeus,father
Cadmilus,Hephaestus,father
Eucleia,Hephaestus,father
Philophrosyne,Hephaestus,father
Telesphorus,Asclepius,father
Hygieia,Asclepius,father
Aegle,Asclepius,father
Aceso,Asclepius,father
Panacea,Asclepius,father
Crotus,Pan,father
Circe,Helios,father
Phobetor,Hypnos,father
Morpheus,Hypnos,father
Phantasos,Hypnos,father
Ctesius,Soter,father
Eupraxia,Soter,father
Homonoia,Soter,father
Dike,Nomos,father
Pasithea,Hera,mother
Hebe,Hera,mother
Hecate,Hera,mother
Angelos,Hera,mother
Enyo,Hera,mother
Eileithyia,Hera,mother
Ares,Hera,mother
Hephaestus,Hera,mother
Philomelus,Demeter,mother
Despoina,Demeter,mother
Hecate,Demeter,mother
Calligeneia,Demeter,mother
Plutus,Demeter,mother
Dionysus,Demeter,mother
Persephone,Demeter,mother
Zagreus,Persephone,mother
Melinoe,Persephone,mother
Phobos,Aphrodite,mother
Deimos,Aphrodite,mother
Eros,Aphrodite,mother
Himeros,Aphrodite,mother
Phthonus,Aphrodite,mother
Pothos,Aphrodite,mother
Hermaphroditus,Aphrodite,mother
Adrestia,Aphrodite,mother
Hymen,Aphrodite,mother
Anteros,Aphrodite,mother
Harmonia,Aphrodite,mother
Hygieia,Athena,mother
Phosphorus,Eos,mother
Hesperus,Eos,mother
Astraea,Eos,mother
Benthesikyme,Amphitrite,mother
Eros,Iris,mother
Pothos,Iris,mother
Phaunos,Circe,mother
Circe,Hecate,mother
Pandia,Selene,mother
Limos,Eris,mother
Eros,Eris,mother
Adikia,Eris,mother
Neikea,Eris,mother
Algos,Eris,mother
Enyalius,Enyo,mother
Phantasos,Pasithea,mother
Homonoia,Praxidice,mother
Eros,Penia,mother
Selene,Basileia,mother
Morpheus,Aglaea,mother
Eucleia,Aglaea,mother
Philophrosyne,Aglaea,mother
Hera,Hades,sibling
Demeter,Hades,sibling
Poseidon,Hades,sibling
Hestia,Hades,sibling
Zeus,Hestia,sibling
Hera,Hestia,sibling
Demeter,Hestia,sibling
Poseidon,Hestia,sibling
Hades,Hestia,sibling
Eris,Ares,sibling
Hephaestus,Ares,sibling
Zeus,Poseidon,sibling
Hera,Poseidon,sibling
Demeter,Poseidon,sibling
Hades,Poseidon,sibling
Hestia,Poseidon,sibling
Zeus,Hades,sibling
Hera,Zeus,sibling
Demeter,Zeus,sibling
Poseidon,Zeus,sibling
Hades,Zeus,sibling
Hestia,Zeus,sibling
Artemis,Apollo,sibling
Zeus,Hera,sibling
Demeter,Hera,sibling
Poseidon,Hera,sibling
Hades,Hera,sibling
Hestia,Hera,sibling
Apollo,Artemis,sibling
Zeus,Demeter,sibling
Hera,Demeter,sibling
Poseidon,Demeter,sibling
Hades,Demeter,sibling
Hestia,Demeter,sibling
Phosphorus,Hesperus,sibling
Deimos,Phobos,sibling
Phobos,Deimos,sibling
Himeros,Eros,sibling
Pothos,Eros,sibling
Anteros,Eros,sibling
Helios,Selene,sibling
Eos,Selene,sibling
Selene,Helios,sibling
Eos,Helios,sibling
Ares,Eris,sibling
Zelus,Nike,sibling
Bia,Nike,sibling
Kratos,Nike,sibling
Telesphorus,Hygieia,sibling
Aegle,Hygieia,sibling
Aceso,Hygieia,sibling
Panacea,Hygieia,sibling
Selene,Eos,sibling
Helios,Eos,sibling
Nike,Zelus,sibling
Bia,Zelus,sibling
Kratos,Zelus,sibling
Dike,Eirene,sibling
Eunomia,Eirene,sibling
Nike,Bia,sibling
Zelus,Bia,sibling
Kratos,Bia,sibling
Nike,Kratos,sibling
Zelus,Kratos,sibling
Bia,Kratos,sibling
Eirene,Dike,sibling
Eunomia,Dike,sibling
Eros,Anteros,sibling
Himeros,Anteros,sibling
Pothos,Anteros,sibling
Telesphorus,Aceso,sibling
Hygieia,Aceso,sibling
Aegle,Aceso,sibling
Panacea,Aceso,sibling
Thallo,Carpo,sibling
Thalia,Euphrosyne,sibling
Aglaea,Euphrosyne,sibling
Clotho,Atropos,sibling
Lachesis,Atropos,sibling
Atropos,Clotho,sibling
Lachesis,Clotho,sibling
Telesphorus,Panacea,sibling
Hygieia,Panacea,sibling
Aegle,Panacea,sibling
Aceso,Panacea,sibling
Atropos,Lachesis,sibling
Clotho,Lachesis,sibling
Eirene,Eunomia,sibling
Dike,Eunomia,sibling
Persephone,Despoina,sibling
Hygieia,Telesphorus,sibling
Aegle,Telesphorus,sibling
Aceso,Telesphorus,sibling
Panacea,Telesphorus,sibling
Carpo,Thallo,sibling
Aglaea,Thalia,sibling
Euphrosyne,Thalia,sibling
Eros,Himeros,sibling
Pothos,Himeros,sibling
Anteros,Himeros,sibling
Eros,Pothos,sibling
Himeros,Pothos,sibling
Anteros,Pothos,sibling
Hesperus,Phosphorus,sibling
Philophrosyne,Eucleia,sibling
Eucleia,Philophrosyne,sibling
Telesphorus,Aegle,sibling
Hygieia,Aegle,sibling
Aceso,Aegle,sibling
Panacea,Aegle,sibling
Penia,Amechania,sibling
Amechania,Penia,sibling
Thalia,Aglaea,sibling
Euphrosyne,Aglaea,sibling
Zeus,Hera,spouse
Amphitrite,Poseidon,spouse
Persephone,Hades,spouse
Aphrodite,Hephaestus,spouse
Aglaea,Hephaestus,spouse
Hades,Persephone,spouse
Hera,Zeus,spouse
Ares,Aphrodite,spouse
Hephaestus,Aphrodite,spouse
Psyche,Eros,spouse
Poseidon,Amphitrite,spouse
Pasithea,Hypnos,spouse
Hypnos,Pasithea,spouse
Hephaestus,Aglaea,spouse
Aetna,Briareus,father
Eros,Zephyrus,father
Methone,Alcyoneus,father
Asterius,Anax,father
Hippolytos,Uranus,father
Anax,Uranus,father
Pallas,Uranus,father
Aristaeus,Uranus,father
Astraios,Uranus,father
Eurytos,Uranus,father
Hoplodamus,Uranus,father
Athos,Uranus,father
Cottus,Uranus,father
Otus,Uranus,father
Peloreus,Uranus,father
Colophonus,Tartarus,father
Corydon,Tartarus,father
Effra,Tartarus,father
Halie,Pontus,father
Enceladus,Uranus,father
Damysos,Uranus,father
Alpos,Uranus,father
Mimas,Uranus,father
Clytius,Uranus,father
Aura,Boreas,father
Hyrpace,Boreas,father
Thoosa,Phorcys,father
Polemos,Phorcys,father
Eurymedon,Uranus,father
Oceanus,Uranus,father
Tethys,Uranus,father
Typhon,Tartarus,father
Aphrodite,Uranus,father
Aegaeon,Uranus,father
Aetna,Uranus,father
Briareus,Uranus,father
Gyges,Uranus,father
Polybotes,Uranus,father
Ephialtes,Uranus,father
Porphyrion,Uranus,father
Glauce,Uranus,father
Gration,Uranus,father
Alcyoneus,Uranus,father
Nemesis,Erebos,father
Uranus,Chaos,father
Gaia,Chaos,father
Eros,Chaos,father
Erebos,Chaos,father
Nyx,Chaos,father
Eros,Erebos,father
Aether,Erebos,father
Uranus,Aether,father
Gaia,Aether,father
Eros,Aether,father
Chaos,Chronos,father
Enceladus,Tartarus,father
Emphytus,Tartarus,father
Hybris,Erebos,father
Thalassa,Aether,father
Phorcys,Pontus,father
Lycus,Pontus,father
Echidna,Phorcys,father
Cronus,Uranus,father
Mnemosyne,Uranus,father
Rhea,Uranus,father
Themis,Uranus,father
Hyperion,Uranus,father
Iapetos,Uranus,father
Coeus,Uranus,father
Phoebe,Uranus,father
Theia,Uranus,father
Kreios,Uranus,father
Dione,Uranus,father
Damon,Pontus,father
Geras,Erebos,father
Aergia,Aether,father
Nereus,Pontus,father
Ceto,Pontus,father
Thaumas,Pontus,father
Aegaeon,Pontus,father
Eurybia,Pontus,father
Ananke,Chronos,father
Chronos,Hydros,father
Ananke,Hydros,father
Pothos,Zephyrus,father
Echidna,Tartarus,father
Charon,Erebos,father
Eris,Erebos,father
Hypnos,Erebos,father
Hemera,Erebos,father
Thanatos,Erebos,father
Eleos,Erebos,father
Dolos,Aether,father
Dolor,Aether,father
Heimarmene,Uranus,father
Lyssa,Uranus,father
Basileia,Uranus,father
Momus,Erebos,father
Phantasos,Erebos,father
Moros,Erebos,father
Phthonus,Erebos,father
Epiphron,Erebos,father
Amicitia,Erebos,father
Aegina,Asopus,father
Io,Inachus,father
Eros,Porus,father
Alala,Polemos,father
Hypereia,Inachus,father
Asopis,Asopus,father
Ismenus,Asopus,father
Pitane,Eurotas,father
Daulis,Cephissus,father
Anchiroe,Erasinos,father
Telphusa,Termessus,father
Symaithis,Symaithos,father
Tricca,Peneus,father
Melite,Aegaeus,father
Samia,Meander,father
Diopatra,Spercheus,father
Castalia,Achelous,father
Callirhoe,Achelous,father
Cyane,Anapos,father
Corcyra,Asopus,father
Euboea,Asopus,father
Sinope,Asopus,father
Nemea,Asopus,father
Salamis,Asopus,father
Harpina,Asopus,father
Combe,Asopus,father
Pirene,Asopus,father
Chalcis,Asopus,father
Oeroe,Asopus,father
Ornea,Asopus,father
Plataea,Asopus,father
Thespia,Asopus,father
Thyia,Cephissus,father
Melaena,Cephissus,father
Astyoche,Simoeis,father
Hieromneme,Simoeis,father
Borysthenis,Borysthenes,father
Evadne,Strymon,father
Tereine,Strymon,father
Asterodeia,Phasis,father
Daphne,Ladon,father
Metope,Ladon,father
Thelpusa,Ladon,father
Alexirrhoe,Granicus,father
Pegasis,Granicus,father
Cnossia,Amnisus,father
Aganippe,Termessus,father
Eupheme,Termessus,father
Thisbe,Termessus,father
Abarbarea,Aesepus,father
Strophia,Ismenus,father
Dercetis,Ismenus,father
Ismenis,Ismenus,father
Minthe,Cocytus,father
Limnaee,Ganges,father
Polyxo,Nilus,father
Caliadne,Nilus,father
Anchiroe,Nilus,father
Chione,Nilus,father
Anippe,Nilus,father
Phoroneus,Inachus,father
Danais,Alpheus,father
Myrtoessa,Alpheus,father
Nana,Sangarius,father
Ocyrhoe,Sangarius,father
Daphne,Peneus,father
Orseis,Peneus,father
Stilbe,Peneus,father
Tiasa,Eurotas,father
Oenone,Cebren,father
Hesperia,Cebren,father
Castalia,Cephissus,father
Lilaea,Cephissus,father
Sagaritis,Sangarius,father
Dexithea,Damon,father
Rhesus of Thrace,Strymon,father
Syrinx,Ladon,father
Istrus,Oceanus,father
Cephissus,Oceanus,father
Euphrates,Oceanus,father
Kytheros,Oceanus,father
Pleistos,Oceanus,father
Ilissos,Oceanus,father
Amalthea,Oceanus,father
Nemesis,Oceanus,father
Metis,Oceanus,father
Zeuxo,Oceanus,father
Tyche,Oceanus,father
Philyra,Oceanus,father
Merope,Oceanus,father
Pleione,Oceanus,father
Styx,Oceanus,father
Eurynome,Oceanus,father
Asia,Oceanus,father
Peitho,Oceanus,father
Rhodos,Oceanus,father
Argeia,Oceanus,father
Plouto,Oceanus,father
Hesione,Oceanus,father
Doris,Oceanus,father
Beroe,Oceanus,father
Idothea,Oceanus,father
Klytia,Oceanus,father
Polydora,Oceanus,father
Asterope,Oceanus,father
Zeuxippe,Oceanus,father
Chryseis,Oceanus,father
Cisseis,Oceanus,father
Coryphe,Oceanus,father
Eudore,Oceanus,father
Plexaure,Oceanus,father
Ianire,Oceanus,father
Argie,Oceanus,father
Menestho,Oceanus,father
Melobosis,Oceanus,father
Ianthe,Oceanus,father
Kleio,Oceanus,father
Kretheis,Oceanus,father
Axius,Oceanus,father
Phyllis,Oceanus,father
Apidanus,Oceanus,father
Ardescus,Oceanus,father
Granicus,Oceanus,father
Chremetes,Oceanus,father
Calypso,Nereus,father
Amphitrite,Nereus,father
Beroe,Nereus,father
Anapos,Oceanus,father
Asopus,Oceanus,father
Crinisus,Oceanus,father
Nilus,Oceanus,father
Inachus,Oceanus,father
Clitumnus,Oceanus,father
Alpheus,Oceanus,father
Enipeus,Oceanus,father
Hermus,Oceanus,father
Chrysas,Oceanus,father
Scamander,Oceanus,father
Eridanos,Oceanus,father
Sangarius,Oceanus,father
Peneus,Oceanus,father
Cebren,Oceanus,father
Caicus,Oceanus,father
Clytie,Oceanus,father
Prymno,Oceanus,father
Callirhoe,Oceanus,father
Orseis,Oceanus,father
Creusa,Oceanus,father
Lysithea,Oceanus,father
Telesto,Oceanus,father
Perse,Oceanus,father
Electra,Oceanus,father
Thoe,Oceanus,father
Hippo,Oceanus,father
Amphiro,Oceanus,father
Eidyia,Oceanus,father
Phaeno,Oceanus,father
Xanthe,Oceanus,father
Meliboea,Oceanus,father
Pasithoe,Oceanus,father
Capheira,Oceanus,father
Galaxaura,Oceanus,father
Daeira,Oceanus,father
Acaste,Oceanus,father
Admete,Oceanus,father
Bolbe,Oceanus,father
Thrace,Oceanus,father
Europa,Oceanus,father
Evagore,Oceanus,father
Ephyra,Oceanus,father
Camarina,Oceanus,father
Cerceis,Oceanus,father
Plexaure,Nereus,father
Hydaspes,Oceanus,father
Hebrus,Oceanus,father
Acheron,Oceanus,father
Aegaeus,Oceanus,father
Aesar,Oceanus,father
Amnisus,Oceanus,father
Anaurus,Oceanus,father
Anigrus,Oceanus,father
Ascanius,Oceanus,father
Baphyras,Oceanus,father
Brychon,Oceanus,father
Elisson,Oceanus,father
Erasinos,Oceanus,father
Termessus,Oceanus,father
Aesepus,Oceanus,father
Symaithos,Oceanus,father
Ismenus,Oceanus,father
Evenus,Oceanus,father
Ganges,Oceanus,father
Pactolus,Oceanus,father
Nerites,Nereus,father
Idotea,Proteus,father
Briareus,Aegaeon,father
Ephyra,Nereus,father
Crataeis,Triton,father
Calliste,Triton,father
Periboea,Oceanus,father
Borysthenes,Oceanus,father
Haliacmon,Oceanus,father
Strymon,Oceanus,father
Bromie,Oceanus,father
Phasis,Oceanus,father
Ladon,Oceanus,father
Adrasteia,Oceanus,father
Asterion,Oceanus,father
Ceto,Oceanus,father
Aeas,Oceanus,father
Ocyrhoe,Oceanus,father
Dodone,Oceanus,father
Deino,Oceanus,father
Asterodeia,Oceanus,father
Klymene,Oceanus,father
Chariclo,Oceanus,father
Cladeus,Oceanus,father
Kydnos,Oceanus,father
Meander,Oceanus,father
Neda,Oceanus,father
Pamisus,Oceanus,father
Caanthus,Oceanus,father
Simoeis,Oceanus,father
Spercheus,Oceanus,father
Caystrus,Oceanus,father
Aethra,Oceanus,father
Leuce,Oceanus,father
Nephele,Oceanus,father
Thaleia,Nereus,father
Neaera,Nereus,father
Hydaspes,Thaumas,father
Orithyia,Nereus,father
Deiopea,Nereus,father
Glyce,Nereus,father
Cabeiro,Proteus,father
Iris,Thaumas,father
Arke,Thaumas,father
Tyche,Zeus,father
Aletheia,Zeus,father
Rhodos,Poseidon,father
Amalthea,Helios,father
Aegiale,Helios,father
Phaethusa,Helios,father
Lampetia,Helios,father
Hermes,Zeus,father
Heracles,Zeus,father
Perseus,Zeus,father
Ceroessa,Zeus,father
Thrassa,Ares,father
Cymopoleia,Poseidon,father
Nysa,Aristaeus,father
Macris,Aristaeus,father
Ersa,Zeus,father
Atë,Zeus,father
Scamander,Zeus,father
Amyrus,Poseidon,father
Thysa,Dionysus,father
Thalia,Hephaestus,father
Phasis,Helios,father
Aegle,Zeus,father
Mnemosyne,Zeus,father
Astris,Helios,father
Beroe,Adonis,father
Hamadryas,Oreius,father
Menoites,Keuthonymos,father
Chariclo,Apollo,father
Triton,Poseidon,father
Proteus,Poseidon,father
Charybdis,Poseidon,father
Glaucus,Poseidon,father
Caanthus,Poseidon,father
Apollonis,Apollo,father
Chrysus,Zeus,father
Eurymedon,Hephaestus,father
Phaethousa,Helios,father
Opus II,Zeus,father
Cephisso,Apollo,father
Angelia,Hermes,father
Tyche,Hermes,father
Calypso,Atlas,father
Epimetheus,Iapetos,father
Prometheus,Iapetos,father
Atlas,Iapetos,father
Leto,Coeus,father
Lelantos,Coeus,father
Poseidon,Cronus,father
Hestia,Cronus,father
Nike,Pallas,father
Chariclo,Perses,father
Aura,Lelantos,father
Taygete,Atlas,father
Menoetius,Iapetos,father
Anchiale,Iapetos,father
Asteria,Coeus,father
Euros,Astraeus,father
Notus,Astraeus,father
Caecias,Astraeus,father
Lips,Astraeus,father
Apeliotes,Astraeus,father
Sciron,Astraeus,father
Argestes,Astraeus,father
Astraeus,Kreios,father
Pallas,Kreios,father
Perses,Kreios,father
Phaenon,Astraeus,father
Pyroeis,Astraeus,father
Maia,Atlas,father
Merope,Atlas,father
Sterope,Atlas,father
Electra,Atlas,father
Zeus,Cronus,father
Hera,Cronus,father
Demeter,Cronus,father
